content,score
"Saran pengembangan, tolong kembangin lagi buat pengiriman kode otp bisa melalui WhatsApp. Jujur saya keberatan jika terus-menerus harus menggunakan pulsa, karna ada suatu saat pulsa itu habis dan jarak ke konter cukup jauh.",4
"Setiap saya login selalu salah,, padahal baru 1kali & ID serta Passwordnya sudah benar tapi tetap saja diarahkan ke Halo BCA yg nantinya akan menarik pulsa,,Hal ini sudah sangat sering terjadi setiap kali saya login.. Aplikasi sangat buruk",1
"aplikasi terlalu repot, kebanyakan aplikasi. aplikasi hallo bca, aplikasi my bca. saat daftar ID sangat repot.. ingin pegaduan Hallo bca perlu login Dulu.. sedangkan saya udh mencoba daftar gagal terus sampai"" email saya 3 akun katanya sudah terdafar. saat dicek emailnya tidak terdaftar.. sangat repot dan lama makin lama, bukan mempermudah tp mempersulit.",1
"Tolong untuk setiap update aplikasi,agar tidak memasukkan ID, password dan OTP lagi, apalagi OTP nya lewat SMS yang itu memakan biaya, ok lah kalau misal OTP nya dikirim via WA. Atau contohlah bank2 lain, kalau aplikasinya minta update,setelah update tinggal masuk aja pakai faceID, atau sidik jari.",4
"Semenjak update ke tampilan baru, portofolio investasi ku di welma gak bisa di buka. Padahal di menu-menu yang lain lancar banget. Jaringan juga sudah ku gonta-ganti tapi tetep gak bisa dibuka. Lebih suka tampilan yang lama.",2
"Setelah update malah jadi slow loadingnya (tiap pencet 1 menu loadingnya beberapa detik, isi password saja perlu pelan2 ketiknya, nunggu beberapa detik huruf demi huruf). Jadi tidak nyaman digunakan, beda dengan sebelum diupdate. Ini namanya downgrade, bukan upgrade.",3
"Ada fitur in app telpon cs gratis itu game changer banget... Sangat membantu. Cuma sedikit saran, agar UI telpon bisa diminize saat proses telpon, agar bisa cek data2 di app saat sedang ditanya oleh cs. Contoh transaksi terakhir, nomor rek yg di tf, dll. Sangat butuh untuk back ke app tanpa memutus panggilan",5
"Seperti kebanyakan aplikator pada umum-nya, tidak perduli customer menggunakan spesifikasi perangkat apa. Yang penting KELIHATAN keren dan bagus, Pada dasarnya fungsinya sama. Minoritas akan merayap, Mayoritas juga gak paham (bahwa online aplikasi saja dapat cuan per-pixel). Reting, stabil, no down, itu lewat yang penting KELIHATAN keren. Jaminan aman",3
"Semenjak aplikasinya di update, dan kebetulan update nya otomatis saya tidak bisa masuk dengan ID dan paswordnya dan ID lama terblokir. Saya coba buat ID dan paswordnya yang baru dan selesai tapi setelah coba masuk dengan ID dan password baru saya disuruh masukan nomor telepon dan mengisi data kembali, terus berputar seperti itu. Tolong perbaikannya pak/ibu, karena sangat penting transaksi via online. Terimakasih 🙏",5
"saya sudah memasukan bca id saya diaplikasi my bca,namun ketika mengetikan passwordnya tidak bs masuk ke aplikasi muncul kata oops..terjadi kesalahan dan silakan cb lagi,namun sudah 2 hari ini tidak bs1x,saya dari cs melalui whatsap agar dimatikan hpnya terus dihidupkan,sudah dilakukan berkali2x tidak bisa bahkan sudah fi uninstal berkali2x tidak bs,terus ganti jaringan dr wifi ke paket data tidak bs,saran dari cs di halo bca di update tapi tdk bs krnsudah update terbaca,sebenarnya apa yg salah?",1
"Bukan sekali atau dua kali tiap mau transaksi penting mybca sering error Bukan masalah di koneksi internet nya Tp bner2 dari mybca nya Update sering hampir 2 hari sekali Tp sama sekali gk ada perubahan. Gk nyaman, hidup jadi ribet pke mybca PAYAH !!",1
"Mau kasih masukan untuk admin sistem mybca, kecepatan akses masuk ke aplikasi mybca lelet, loadingnya lama, sering kalau mau tranfer atau bayar pakai qris juga loading, sehingga saya melakukan pembayaran menggunakan mbangking karena akses masuk ke mbangking terasa ringan dan lebih cepat, semoga mybca bisa lebih baik lagi, kalau sudah ada perbaikan, bintangnya saya ganti 😊",3
"kode otp nya gmna si ga muncul padahal pulsa cukup, semenjak update malah banyak kendala udh 3 Minggu kendala otp,kacau bgt ni my bca,alasannya pulsa ga cukup lah pdahal pulsa 20rb,jangan pake wifi lah udah di coba tetep aja,padahal sinyal aman,nyoba secara berkala eh ujungnya suruh tunggu 30 menit,3 Minggu udh di coba tetep aja hasilnya nihil",1
"saya beri bintang 5 kalau bisa buka aplikasi tanpa harus update karena memori hp sudah penuh tidak bisa update dan tidak bisa buka aplikasi. Coba developer lebih pintar ya merilis aplikasi, bisa kan aplikasi terbaru diluncurkan tanpa pelanggan harus update terlebih dahulu, sehingga pelanggan merasa nyaman.",1
update terbaru cukup bagus. notifikasi saldo masuk sudah ada keterangan dari pengirim saldo. hanya saja saat saldo keluar tidak ada keterangan kirim saldo ke mana nya. mohon update selanjutnya bisa di tampilkan keterangan saldo keluar kirim ke siapa nya. biar saat muncul notifikasi bisa langsung cek sudah bener kirim ke atas nama rekening siapa nya,3
"setelah di update malah gak bisa log in sama Skali, berkali"" minta kode otp terus tp selalu kembali ke tampilan awal harus login, buang"" pulsa jg, tolong di perbaiki, saya jd gak bisa transaksi, ini sangat menganggu sekali..!",1
"bintang nya saya rubah dulu ke 1, karena skrng kalau masuk harus verifikasi wajah jelas banget, LCD hp saya lagi kotor jadi ngaruh ke kamera depan agak buram jadi ga bisa masuk2 sedangkan pulsa nya udah di potong...padahal vermuk ke aplikasi lain contoh nya Gojek & Dana bisa masuk, kenapa di Mybca ga bisa masuk? padahal saya butuh banget masuk ke mybca..kenapa harus di persulit padahal saya member lama...nanti kalau sudah perbaikan saya rubah lagi ke bintang 5",1
setelah di update malah login menggunakan ID BCA dan setiap masuk ke menu harus menggunakan kode OTP dan memerlukan biaya pulsa karena masih menggunakan via SMS jadi klw pulsa 0 maka tidak akan bisa login..tolong untuk di perbaiki untuk yang lain bagus.trims,4
"Mohon untuk kedepannya pihak myBCA bisa menambahkan satu tempat kode OTP di WhatsApp. Entah kenapa kalau kode OTP dari SMS tidak ada balasan sama sekali. Sudah 2 Minggu lebih menunggu tidak ada balasan juga. Jadi untuk kedepannya, mohon untuk pihak BCA menambahkan kode OTP dari WHATSAPP. Agar tidak memperumit para nasabah. Padahal saat saya mengirim kode OTP dari SMS, pulsa saya masih tersedia 10rb dan jaringan stabil dan tidak menggunakan WI-FI. Untuk sementara Bintang 1 terlebih dahulu.",1
"Saya mengalami masalah ketika klik menu : ""Semua Menu"" di Mybca yg langsung logout. Menu lainnya tidak masalah. Mungkin banyak orang akan mengalami hal yg sama jika klik ""Semua Menu"" di Mybca pada update terakhir. Saya telusuri semua ulasan dan menemukan satu ulasan tgl. 24 Maret 2025, juga mengalami hal yg sama. di hp yg beda di keluarga saya juga mengalami hal ini. Apakah ada solusi ?, atau tunggu update berikut ?",3
"Saldo jgn ditutup *** merepotkan kalau mau lihat. Harusnya ada opsi supaya saldo bisa tetap terlihat setiap login, tidak ditutup dengan ***. Buat menu intip saldo tanpa login dan menu fast transaction tanpa login. Link dengan dompet digital seperti OVO dan GoPay agar mudah melakukan top up. Bikin notifikasinya supaya bisa di tandai ""baca semua"" atau dihapus, repot kalau harus buka satu-satu baru hilang titik merahnya, sulit tau kalau ada notifikasi baru selalu ada titik merah di notifikasi.",4
"Kurang paham sja,, problem nya di mana,, untuk masalah terblokir mungkin itu memang kesalahan sy,, tapi waktu mau reset password,, la ilah susah ege,, di suruh telfon kesini,, di lempar lagi suruh chat ini,, pusing egek alhasil sampai sekarang blm selesai² reset password,, mana uang ad di dalam semua,, kata mbak² yg di telfon di suruh buat kartu aja,,tolongin bagi paham ya,, jaringan WiFi lancar data banyak,, malah pulsa bisa yg habis termakan, stres mak",2
aplikasi ini terlalu sering update tolong jgn terlalu sering update karna klo penyimpanan penuh susah untuk update dan untuk saya yg tidak ada atm card jadi kesulitan ketika mendadak urgent butuh tarik tunai ataupun transfer karna harus update dlu baru bisa dibuka,1
"Baru daftar online dan nyoba topup ternyata saldo tidak masuk, info cs kemungkinan dana mengendap dan hanya bisa di ambil kalau tutup rekening. Sudah 1 bulan saldo tetap tidak masuk, meski ada notif uang masuk, tapi saldo tetep 0. Jadi takut mau topup lagi. Semoga bisa di perbaiki lagi sistemnya.",2
"Aplikasinya udah keren, saya jg udh nyaman pakai mybca, saran : tolong ya tambahkan utk pembayaran kredit motor ke fif, seperti bca mobile gitu lho.. kan ada payment nya, nah.. di mybca itu gak ada, tolong dong tambahkan payment nya di mybca biar mudah gitu lho utk byr kredit motor, bca mobile saya jarang di pakai jadi di suruh registrasi ulang lagi di atm, ribet kali, terimakasih sebelumnya 🙏",5
"semenjak update my bca sering banget ke log out sendiri, mau transaksi terhalang harus update aplikasi,ini mau log in buat transfer uang,eh harus verifikasi lagi, udah log in tiba-tiba sekarang ada eror",4
Update terbaru myBCA kurang nyaman banget UI di bagian Navigasi Bar. Mengapa harus dikasih warna biru sih? Soalnya nyatu dengan tombol home dsb itu kurang sinkron karena biasanya tombol tersebut warna hitam.,4
"My bca memang sudah bagus tampilannya hanya saja ada kekurangan di bagian transaksi karena tidak ada jam nya. Misal org transfer jam 15.30 pas kita cek tidak ada jam nya sehingga untuk transaksi yg sgt banyak dan banyak org kirim uang k kita, kita harus detail liatnya. Karena dr bukti transfer tidak ada namanya. Kecuali org kasi catatan baru jelas.",4
"Desainnya simpel, navigasi intuitif, dan fitur-fiturnya lengkap, mulai dari transfer, pembayaran, top-up, hingga pengelolaan rekening. Keamanan transaksi juga sangat terjamin dengan fitur KeyBCA dan biometrik. Proses login dan transaksi cepat tanpa kendala. Selain itu, fitur QRIS memudahkan pembayaran di berbagai merchant.",5
"Terdapat bug yang sangat fatal di myBCA. Saya tidak sengaja menekan tombol ""Personalisasi BCA ID"" yang kemudian membuatku tidak bisa login kembali dan muncul keterangan ""Seluruh rekening Anda telah terkoneksi dengan BCA ID lainnya.. dst."". Saya bahkan sudah berulang kali instal-uninstal aplikasi ini dan masih sama saja. Reset password pun sama saja.Saat saya coba reach out ke CS, ternyata rekening saya jadi terputus dengan BCA ID saya. Harap segera diperbaiki karena ini sangat merepotkan.",1
"Saya suka dengan tampilannya. Cuman sayang gak ada fitur pembayaran seperti contoh: Listrik PLN, PBB, Telpon rumah, dan yang lainnya. Sama adakan fitur top up e-wallet contoh: dana, gopay, shopee pay, dan yang lainnya. Untuk QRIS-nya juga dong di perbaharui bisa bayar parkir juga.",5
"Payah habis pulsa banyak validasi otp gagal terus, tidak ada solusi dari pihak aplikasi, semua langkah dan cara sudah di ikut tetap sama saja, terus terusan di arahkan mengisi nomer dan otp pdahal sudah sesuai",1
"Login Ribet dan ujung-ujungnya itu gak bisa. Mau buat akun biar bisa cek saldo dari Kartu Bca, Itu tuh biar gak ribet untuk ke alfa atau indomaret buat cek saldo, tapi malah susah dan bikin setres. Kenapa saya kasih bintang 5? Biar mereka dan yang membaca ini melihat. Tolong di benerin.",5
Tiap mau buka pake jaringan wifi pasti loading terus padahal buka aplikasi laen sama nonton YouTube lancar2 aja. Kudu banget harus pake paket data baru bisa kebuka. Beneerriin dooonnng,2
"mohon maaf setelah upgred app mybca , hari ini saya, jadi tidak bisa login ke app mybca, padahal pin sudah sesuai. malah ada keterangan data tidak sesuai dan harus hubungi call center bca.. ini gimanaya , atau lagi gangguan?? terimakasih",3
jadi berat myBCA ini..agak lelet..qrisny lambat untuk eksekusiny..padahal sinyal kuat paket data full..cuaca bagus..laporan dari dunia nyata hari ini cukup sekian mohon untuk di update..salam manis untuk CS BCA yang cantik dan ramah sopan dan penyabar..Jangan kaya cs B. R...😂😂😂,1
"so far salah satu apps yang bagus, selain userfrienly, UI nya juga simple dan mudah digunakan, pelayanan cs online via livechat juga gercep, kalo lupa pass tinggal tlp free (udah sering kejadian di aku lupa pass ,wkwkwkwk) LOVE SEKEBOONN o ya, paling banner2 promo yang udah lewat bisa ditake down biar org ga salah kaprahh, mungkin bisa di ganti promo2 merchant dll (cuma saran)",5
"User interface & menunya kurang friendly, tdk tersedia menu untuk top up e-wallet langsung & kalau mau topup2 / bayar masih harus daftar manual di menu Transfer - Virtual Account, & harus cari kodenya dulu di google, ini tidak praktis! masih tertinggal dr Livin, brimo, bale & wondr. sekelas bank BCA harus terus inovasi seperti kompetitor bank Bumn.",5
"apa coba mau buat BCA ID aja di persulit, malah alamat email tidak bisa di gunakan atau coba email lain. gitu aja harus ribet ganti lagi padahal itu email belum ad di pake buat daftar MyBCA, soal ny gw baru ini pertama kali coba nih aplikasi karena bagus, dan juga recommend buat kebutuhan saya eh malah di kasih ribet, tau gitu yg lain aja gw pake. udh enak di kasih tau bagus nya nih apk untuk saya malah di kasih ribet. kaya tempat wisata bagus di kunjungin eh pas mau masuk tau-tau banyak pungli",1
